,STATE_COUNTY,TRUMP_N,TRUMP_%,CLINTON_N,CLINTON_%,PER_CAPITA_INCOME,YEAR_x,UNINSURED_RATE,YEAR_y,SOME_COLLEGE,AFAMERPER,WHITESPER,ASIANPER,HISPANICPER,PERSENIORS,YEAR_x,POVERTY_RATE,YEAR_y,INCINEQUALITY,YEAR_x,UNEMP_RATE,YEAR_y,RURAL_POP,YEAR,CITIZENS
64,AL_WASHINGTON,6031,0.7084,2366,0.2779,20395.0,2017.0,0.151,2017.0,0.42100000000000004,0.249,0.655,0.001,0.009000000000000001,0.147,2016.0,0.21608100777529987,2017.0,0.5312776304155615,2017.0,0.08900000000000001,2017.0,1.0,2016.0,0.994441
65,AL_WILCOX,1737,0.2844,4329,0.7087,13379.0,2017.0,0.163,2017.0,0.359,0.725,0.268,0.0,0.006,0.15,2016.0,0.34892119640707475,2017.0,0.7179487179487181,2017.0,0.147,2017.0,1.0,2016.0,1.0
66,AL_WINSTON,9225,0.895,871,0.08449999999999999,18995.0,2017.0,0.163,2017.0,0.534,0.005,0.956,0.002,0.026,0.177,2016.0,0.2056595744680851,2017.0,0.51657824933687,2017.0,0.076,2017.0,0.8490000000000001,2016.0,0.9915459999999999
67,AZ_APACHE,8240,0.305,17083,0.6324000000000001,12709.0,2017.0,0.21,2017.0,0.478,0.002,0.233,0.003,0.058,0.116,2016.0,0.3620227445889889,2017.0,0.7160698496905393,2017.0,0.134,2017.0,0.741,2016.0,0.987712
68,AZ_COCHISE,28092,0.5740999999999999,17450,0.3566,23608.0,2017.0,0.142,2017.0,0.655,0.042,0.785,0.019,0.324,0.173,2016.0,0.18926389789441356,2017.0,0.5788019451812555,2017.0,0.07400000000000001,2017.0,0.363,2016.0,0.943843
69,AZ_COCONINO,21108,0.3645000000000001,32404,0.5644,23382.0,2017.0,0.188,2017.0,0.69,0.012,0.617,0.014,0.135,0.08900000000000001,2016.0,0.22163611207194744,2017.0,0.5873121131741822,2017.0,0.066,2017.0,0.315,2016.0,0.9718100000000001
70,AZ_GILA,14182,0.6388,7003,0.3155,20792.0,2017.0,0.17600000000000002,2017.0,0.495,0.004,0.768,0.005,0.179,0.232,2016.0,0.21220407694955445,2017.0,0.4870689655172414,2017.0,0.08,2017.0,0.41100000000000003,2016.0,0.9781489999999999
71,AZ_GRAHAM,8025,0.6722,3301,0.2765,17168.0,2017.0,0.145,2017.0,0.501,0.018000000000000002,0.721,0.005,0.304,0.114,2016.0,0.22500909862913987,2017.0,0.5103890362511052,2017.0,0.07400000000000001,2017.0,0.46399999999999997,2016.0,0.9693299999999999
72,AZ_GREENLEE,1892,0.5834,1092,0.3367,20516.0,2017.0,0.109,2017.0,0.537,0.011,0.772,0.005,0.479,0.12,2016.0,0.1338617349185381,2017.0,0.41843501326259946,2017.0,0.079,2017.0,0.466,2016.0,0.9717040000000001
73,AZ_LAPAZ,4003,0.6829000000000001,1575,0.2687,22200.0,2017.0,0.24,2017.0,0.34600000000000003,0.006,0.698,0.005,0.235,0.326,2016.0,0.2113153045470392,2017.0,0.4266136162687887,2017.0,0.076,2017.0,0.563,2016.0,0.9175530000000001
